Chemical,Monitor,Date Time ,Reading
Chlorodinine,1,4/1/16 19:00,0.0420393
Chlorodinine,1,4/2/16 19:00,0.346854
Chlorodinine,1,4/3/16 19:00,0.226322
Chlorodinine,1,4/4/16 19:00,0.266141
Chlorodinine,1,4/5/16 19:00,0.243901
Chlorodinine,1,4/6/16 19:00,0.0239764
Chlorodinine,1,4/7/16 19:00,0.255643
Chlorodinine,1,4/8/16 19:00,0.376114
Chlorodinine,1,4/9/16 19:00,0.340223
Chlorodinine,1,4/10/16 19:00,0.0887946
Chlorodinine,1,4/11/16 19:00,0.15773
Chlorodinine,1,4/12/16 19:00,0.240412
Chlorodinine,1,4/13/16 19:00,0.091998
Chlorodinine,1,4/14/16 19:00,0.163344
Chlorodinine,1,4/15/16 19:00,0.436254
Chlorodinine,1,4/16/16 19:00,0.0426647
Chlorodinine,1,4/17/16 19:00,0.275131
Chlorodinine,1,4/18/16 19:00,0.139049
Chlorodinine,1,4/19/16 19:00,0.510444
Chlorodinine,1,4/20/16 19:00,0.207368
Chlorodinine,1,4/21/16 19:00,0.256216
Chlorodinine,1,4/22/16 19:00,0.319203
Chlorodinine,1,4/23/16 19:00,0.273352
Chlorodinine,1,4/24/16 19:00,0.0796984
Chlorodinine,1,4/25/16 19:00,0.630307
Chlorodinine,1,4/26/16 19:00,0.0727685
Chlorodinine,1,4/27/16 19:00,0.441183
Chlorodinine,1,4/28/16 19:00,0.0891906
Chlorodinine,1,4/29/16 19:00,0.232246
Chlorodinine,1,4/30/16 19:00,0.177747
Chlorodinine,1,8/1/16 19:00,0.132468
Chlorodinine,1,8/2/16 19:00,0.247654
Chlorodinine,1,8/3/16 19:00,0.394714
Chlorodinine,1,8/4/16 19:00,0.254531
Chlorodinine,1,8/5/16 19:00,0.0157458
Chlorodinine,1,8/6/16 19:00,0.248489
Chlorodinine,1,8/7/16 19:00,0.0436382
Chlorodinine,1,8/8/16 19:00,0.495372
Chlorodinine,1,8/9/16 19:00,0.469853
Chlorodinine,1,8/10/16 19:00,0.0659318
Chlorodinine,1,8/11/16 19:00,0.0964677
Chlorodinine,1,8/12/16 19:00,0.23678
Chlorodinine,1,8/13/16 19:00,0.32133
Chlorodinine,1,8/14/16 19:00,0.244669
Chlorodinine,1,8/15/16 19:00,0.0238903
Chlorodinine,1,8/16/16 19:00,0.195417
Chlorodinine,1,8/17/16 19:00,0.541915
Chlorodinine,1,8/18/16 19:00,0.588218
Chlorodinine,1,8/19/16 19:00,0.010935
Chlorodinine,1,8/20/16 19:00,0.0526844
Chlorodinine,1,8/21/16 19:00,0.0131087
Chlorodinine,1,8/22/16 19:00,0.538534
Chlorodinine,1,8/23/16 19:00,0.447705
Chlorodinine,1,8/24/16 19:00,0.117144
Chlorodinine,1,8/25/16 19:00,0.395526
Chlorodinine,1,8/26/16 19:00,0.0839752
Chlorodinine,1,8/27/16 19:00,0.477822
Chlorodinine,1,8/28/16 19:00,0.130244
Chlorodinine,1,8/29/16 19:00,0.240787
Chlorodinine,1,8/30/16 19:00,0.445383
Chlorodinine,1,8/31/16 19:00,0.346995
Chlorodinine,1,12/1/16 19:00,0.407734
Chlorodinine,1,12/2/16 19:00,0.0524525
Chlorodinine,1,12/3/16 19:00,0.302258
Chlorodinine,1,12/4/16 19:00,0.4143
Chlorodinine,1,12/5/16 19:00,0.410482
Chlorodinine,1,12/6/16 19:00,0.251251
Chlorodinine,1,12/7/16 19:00,0.310239
Chlorodinine,1,12/8/16 19:00,0.545193
Chlorodinine,1,12/9/16 19:00,0.146548
Chlorodinine,1,12/10/16 19:00,0.337963
Chlorodinine,1,12/11/16 19:00,0.494872
Chlorodinine,1,12/12/16 19:00,0.56796
Chlorodinine,1,12/13/16 19:00,0.0943289
Chlorodinine,1,12/14/16 19:00,0.250872
Chlorodinine,1,12/15/16 19:00,0.0910256
Chlorodinine,1,12/16/16 19:00,0.00159146
Chlorodinine,1,12/17/16 19:00,0.30057
Chlorodinine,1,12/18/16 19:00,0.279003
Chlorodinine,1,12/19/16 19:00,0.0209137
Chlorodinine,1,12/20/16 19:00,0.243055
Chlorodinine,1,12/21/16 19:00,0.0992389
Chlorodinine,1,12/22/16 19:00,0.553346
Chlorodinine,1,12/23/16 19:00,0.103094
Chlorodinine,1,12/24/16 19:00,0.0880471
Chlorodinine,1,12/25/16 19:00,0.554004
Chlorodinine,1,12/26/16 19:00,0.235536
Chlorodinine,1,12/27/16 19:00,0.202945
Chlorodinine,1,12/28/16 19:00,0.103816
Chlorodinine,1,12/29/16 19:00,0.306395
Chlorodinine,1,12/30/16 19:00,0.214049
Chlorodinine,1,12/31/16 19:00,0.373937
Chlorodinine,2,4/1/16 19:00,0.173896
Chlorodinine,2,4/2/16 19:00,0.339859
Chlorodinine,2,4/3/16 19:00,0.365446
Chlorodinine,2,4/4/16 19:00,0.0172083
Chlorodinine,2,4/5/16 19:00,0.262322
Chlorodinine,2,4/6/16 19:00,0.154539
Chlorodinine,2,4/7/16 19:00,0.542104
Chlorodinine,2,4/8/16 19:00,0.307426
Chlorodinine,2,4/9/16 19:00,0.161521
Chlorodinine,2,4/10/16 19:00,0.235189
Chlorodinine,2,4/11/16 19:00,0.00566677
Chlorodinine,2,4/12/16 19:00,0.0212264
Chlorodinine,2,4/13/16 19:00,0.867644
Chlorodinine,2,4/14/16 19:00,0.103368
Chlorodinine,2,4/15/16 19:00,0.115925
Chlorodinine,2,4/16/16 19:00,0.114673
Chlorodinine,2,4/17/16 19:00,0.18364
Chlorodinine,2,4/18/16 19:00,0.0567755
Chlorodinine,2,4/19/16 19:00,0.139876
Chlorodinine,2,4/20/16 19:00,0.502882
Chlorodinine,2,4/21/16 19:00,0.379679
Chlorodinine,2,4/22/16 19:00,0.408291
Chlorodinine,2,4/23/16 19:00,0.377049
Chlorodinine,2,4/24/16 19:00,0.372538
Chlorodinine,2,4/25/16 19:00,0.627735
Chlorodinine,2,4/26/16 19:00,0.429764
Chlorodinine,2,4/27/16 19:00,0.104565
Chlorodinine,2,4/28/16 19:00,0.0846683
Chlorodinine,2,4/29/16 19:00,0.319453
Chlorodinine,2,4/30/16 19:00,0.424013
Chlorodinine,2,8/1/16 19:00,0.826669
Chlorodinine,2,8/2/16 19:00,0.0866627
Chlorodinine,2,8/3/16 19:00,0.792754
Chlorodinine,2,8/4/16 19:00,0.809018
Chlorodinine,2,8/5/16 19:00,0.202615
Chlorodinine,2,8/6/16 19:00,0.588593
Chlorodinine,2,8/7/16 19:00,0.276706
Chlorodinine,2,8/8/16 19:00,0.0658423
Chlorodinine,2,8/9/16 19:00,0.712044
Chlorodinine,2,8/10/16 19:00,0.296069
Chlorodinine,2,8/11/16 19:00,0.345466
Chlorodinine,2,8/12/16 19:00,0.343456
Chlorodinine,2,8/13/16 19:00,0.21685
Chlorodinine,2,8/14/16 19:00,0.817239
Chlorodinine,2,8/15/16 19:00,0.384621
Chlorodinine,2,8/16/16 19:00,0.526228
Chlorodinine,2,8/17/16 19:00,0.245725
Chlorodinine,2,8/18/16 19:00,0.0330189
Chlorodinine,2,8/19/16 19:00,0.280387
Chlorodinine,2,8/20/16 19:00,0.232057
Chlorodinine,2,8/21/16 19:00,0.528066
Chlorodinine,2,8/22/16 19:00,0.167827
Chlorodinine,2,8/23/16 19:00,0.361021
Chlorodinine,2,8/24/16 19:00,0.0479643
Chlorodinine,2,8/25/16 19:00,0.247957
Chlorodinine,2,8/26/16 19:00,0.389179
Chlorodinine,2,8/27/16 19:00,0.0447029
Chlorodinine,2,8/28/16 19:00,0.0102552
Chlorodinine,2,8/29/16 19:00,0.140433
Chlorodinine,2,8/30/16 19:00,0.591102
Chlorodinine,2,8/31/16 19:00,0.41466
Chlorodinine,2,12/1/16 19:00,0.120955
Chlorodinine,2,12/2/16 19:00,0.172947
Chlorodinine,2,12/3/16 19:00,0.469996
Chlorodinine,2,12/4/16 19:00,0.562581
Chlorodinine,2,12/5/16 19:00,0.275535
Chlorodinine,2,12/6/16 19:00,0.0932684
Chlorodinine,2,12/7/16 19:00,0.245123
Chlorodinine,2,12/8/16 19:00,0.00958851
Chlorodinine,2,12/9/16 19:00,0.063557
Chlorodinine,2,12/10/16 19:00,0.238232
Chlorodinine,2,12/11/16 19:00,0.579663
Chlorodinine,2,12/12/16 19:00,0.0682997
Chlorodinine,2,12/13/16 19:00,0.898114
Chlorodinine,2,12/14/16 19:00,0.84507
Chlorodinine,2,12/15/16 19:00,0.598975
Chlorodinine,2,12/16/16 19:00,0.0020779
Chlorodinine,2,12/17/16 19:00,0.188593
Chlorodinine,2,12/18/16 19:00,0.0932863
Chlorodinine,2,12/19/16 19:00,0.254895
Chlorodinine,2,12/20/16 19:00,0.358701
Chlorodinine,2,12/21/16 19:00,0.119551
Chlorodinine,2,12/22/16 19:00,0.562611
Chlorodinine,2,12/23/16 19:00,0.086781
Chlorodinine,2,12/24/16 19:00,0.902079
Chlorodinine,2,12/25/16 19:00,0.0447596
Chlorodinine,2,12/26/16 19:00,0.0922713
Chlorodinine,2,12/27/16 19:00,0.426631
Chlorodinine,2,12/28/16 19:00,0.498255
Chlorodinine,2,12/29/16 19:00,0.0541628
Chlorodinine,2,12/30/16 19:00,0.508154
Chlorodinine,2,12/31/16 19:00,0.295014
Chlorodinine,3,4/1/16 19:00,1.83782
Chlorodinine,3,4/2/16 19:00,1.48195
Chlorodinine,3,4/3/16 19:00,0.10902
Chlorodinine,3,4/4/16 19:00,3.64468
Chlorodinine,3,4/5/16 19:00,0.64406
Chlorodinine,3,4/6/16 19:00,0.279346
Chlorodinine,3,4/7/16 19:00,3.11028
Chlorodinine,3,4/8/16 19:00,1.379
Chlorodinine,3,4/9/16 19:00,0.310064
Chlorodinine,3,4/10/16 19:00,1.09738
Chlorodinine,3,4/11/16 19:00,1.47175
Chlorodinine,3,4/12/16 19:00,1.20857
Chlorodinine,3,4/13/16 19:00,0.586435
Chlorodinine,3,4/14/16 19:00,3.51869
Chlorodinine,3,4/15/16 19:00,1.27812
Chlorodinine,3,4/16/16 19:00,0.724617
Chlorodinine,3,4/17/16 19:00,0.916387
Chlorodinine,3,4/18/16 19:00,0.294272
Chlorodinine,3,4/19/16 19:00,0.673255
Chlorodinine,3,4/20/16 19:00,1.45016
Chlorodinine,3,4/21/16 19:00,0.409522
Chlorodinine,3,4/22/16 19:00,0.79317
Chlorodinine,3,4/23/16 19:00,1.11591
Chlorodinine,3,4/24/16 19:00,0.0812496
Chlorodinine,3,4/25/16 19:00,0.415171
Chlorodinine,3,4/26/16 19:00,1.46607
Chlorodinine,3,4/27/16 19:00,1.86455
Chlorodinine,3,4/28/16 19:00,0.508694
Chlorodinine,3,4/29/16 19:00,0.954452
Chlorodinine,3,4/30/16 19:00,0.78064
Chlorodinine,3,8/1/16 19:00,1.38206
Chlorodinine,3,8/2/16 19:00,5.65382
Chlorodinine,3,8/3/16 19:00,0.159592
Chlorodinine,3,8/4/16 19:00,3.81709
Chlorodinine,3,8/5/16 19:00,2.67508
Chlorodinine,3,8/6/16 19:00,2.04618
Chlorodinine,3,8/7/16 19:00,1.32876
Chlorodinine,3,8/8/16 19:00,0.842707
Chlorodinine,3,8/9/16 19:00,1.00724
Chlorodinine,3,8/10/16 19:00,0.637231
Chlorodinine,3,8/11/16 19:00,0.453212
Chlorodinine,3,8/12/16 19:00,0.597367
Chlorodinine,3,8/13/16 19:00,1.13901
Chlorodinine,3,8/14/16 19:00,0.250147
Chlorodinine,3,8/15/16 19:00,5.13392
Chlorodinine,3,8/16/16 19:00,0.178973
Chlorodinine,3,8/17/16 19:00,1.09416
Chlorodinine,3,8/18/16 19:00,0.342048
Chlorodinine,3,8/19/16 19:00,0.631445
Chlorodinine,3,8/20/16 19:00,0.639113
Chlorodinine,3,8/21/16 19:00,0.159843
Chlorodinine,3,8/22/16 19:00,0.13694
Chlorodinine,3,8/23/16 19:00,1.6284
Chlorodinine,3,8/24/16 19:00,0.737988
Chlorodinine,3,8/25/16 19:00,0.718224
Chlorodinine,3,8/26/16 19:00,1.60161
Chlorodinine,3,8/27/16 19:00,0.244535
Chlorodinine,3,8/28/16 19:00,0.593567
Chlorodinine,3,8/29/16 19:00,1.17444
Chlorodinine,3,8/30/16 19:00,0.0401813
Chlorodinine,3,8/31/16 19:00,1.39319
Chlorodinine,3,12/1/16 19:00,0.137378
Chlorodinine,3,12/2/16 19:00,0.346045
Chlorodinine,3,12/3/16 19:00,0.635707
Chlorodinine,3,12/4/16 19:00,1.10157
Chlorodinine,3,12/5/16 19:00,1.05606
Chlorodinine,3,12/6/16 19:00,0.539811
Chlorodinine,3,12/7/16 19:00,1.6025
Chlorodinine,3,12/8/16 19:00,0.754997
Chlorodinine,3,12/9/16 19:00,1.28818
Chlorodinine,3,12/10/16 19:00,0.53703
Chlorodinine,3,12/11/16 19:00,0.362158
Chlorodinine,3,12/12/16 19:00,2.54118
Chlorodinine,3,12/13/16 19:00,1.31057
Chlorodinine,3,12/14/16 19:00,0.991412
Chlorodinine,3,12/15/16 19:00,0.765611
Chlorodinine,3,12/16/16 19:00,4.11764
Chlorodinine,3,12/17/16 19:00,1.47724
Chlorodinine,3,12/18/16 19:00,1.50651
Chlorodinine,3,12/19/16 19:00,0.191798
Chlorodinine,3,12/20/16 19:00,0.817076
Chlorodinine,3,12/21/16 19:00,0.997591
Chlorodinine,3,12/22/16 19:00,1.1768
Chlorodinine,3,12/23/16 19:00,1.78627
Chlorodinine,3,12/24/16 19:00,3.28233
Chlorodinine,3,12/25/16 19:00,2.27499
Chlorodinine,3,12/26/16 19:00,2.75834
Chlorodinine,3,12/27/16 19:00,0.713745
Chlorodinine,3,12/28/16 19:00,0.515607
Chlorodinine,3,12/29/16 19:00,0.85448
Chlorodinine,3,12/30/16 19:00,0.827382
Chlorodinine,3,12/31/16 19:00,1.33589
Chlorodinine,4,4/1/16 19:00,0.379155
Chlorodinine,4,4/2/16 19:00,0.360292
Chlorodinine,4,4/3/16 19:00,0.0468006
Chlorodinine,4,4/4/16 19:00,0.188116
Chlorodinine,4,4/5/16 19:00,0.415663
Chlorodinine,4,4/6/16 19:00,0.16684
Chlorodinine,4,4/7/16 19:00,0.0373764
Chlorodinine,4,4/8/16 19:00,0.116027
Chlorodinine,4,4/9/16 19:00,0.314463
Chlorodinine,4,4/10/16 19:00,0.305739
Chlorodinine,4,4/11/16 19:00,0.535111
Chlorodinine,4,4/12/16 19:00,0.0771546
Chlorodinine,4,4/13/16 19:00,0.591191
Chlorodinine,4,4/14/16 19:00,0.327006
Chlorodinine,4,4/15/16 19:00,0.387883
Chlorodinine,4,4/16/16 19:00,0.232775
Chlorodinine,4,4/17/16 19:00,0.247261
Chlorodinine,4,4/18/16 19:00,0.19191
Chlorodinine,4,4/19/16 19:00,0.305853
Chlorodinine,4,4/20/16 19:00,0.25036
Chlorodinine,4,4/21/16 19:00,0.149475
Chlorodinine,4,4/22/16 19:00,0.0927121
Chlorodinine,4,4/23/16 19:00,0.370038
Chlorodinine,4,4/24/16 19:00,0.0323479
Chlorodinine,4,4/25/16 19:00,0.559764
Chlorodinine,4,4/26/16 19:00,0.414592
Chlorodinine,4,4/27/16 19:00,0.573005
Chlorodinine,4,4/28/16 19:00,0.341158
Chlorodinine,4,4/29/16 19:00,0.275919
Chlorodinine,4,4/30/16 19:00,0.454023
Chlorodinine,4,8/1/16 19:00,0.886217
Chlorodinine,4,8/2/16 19:00,0.644372
Chlorodinine,4,8/3/16 19:00,1.32676
Chlorodinine,4,8/4/16 19:00,1.02827
Chlorodinine,4,8/5/16 19:00,1.06316
Chlorodinine,4,8/6/16 19:00,1.0771
Chlorodinine,4,8/7/16 19:00,0.915742
Chlorodinine,4,8/8/16 19:00,1.0111
Chlorodinine,4,8/9/16 19:00,1.06687
Chlorodinine,4,8/10/16 19:00,1.15694
Chlorodinine,4,8/11/16 19:00,0.949968
Chlorodinine,4,8/12/16 19:00,1.28537
Chlorodinine,4,8/13/16 19:00,0.801933
Chlorodinine,4,8/14/16 19:00,1.24417
Chlorodinine,4,8/15/16 19:00,1.24788
Chlorodinine,4,8/16/16 19:00,1.17569
Chlorodinine,4,8/17/16 19:00,1.20376
Chlorodinine,4,8/18/16 19:00,1.3577
Chlorodinine,4,8/19/16 19:00,0.88608
Chlorodinine,4,8/20/16 19:00,0.941054
Chlorodinine,4,8/21/16 19:00,1.2772
Chlorodinine,4,8/22/16 19:00,1.12161
Chlorodinine,4,8/23/16 19:00,1.0051
Chlorodinine,4,8/24/16 19:00,1.4549
Chlorodinine,4,8/25/16 19:00,1.30964
Chlorodinine,4,8/26/16 19:00,1.30863
Chlorodinine,4,8/27/16 19:00,1.13038
Chlorodinine,4,8/28/16 19:00,1.37748
Chlorodinine,4,8/29/16 19:00,1.20681
Chlorodinine,4,8/30/16 19:00,1.25391
Chlorodinine,4,8/31/16 19:00,1.27876
Chlorodinine,4,12/1/16 19:00,2.03216
Chlorodinine,4,12/2/16 19:00,1.97715
Chlorodinine,4,12/3/16 19:00,2.02841
Chlorodinine,4,12/4/16 19:00,1.91523
Chlorodinine,4,12/5/16 19:00,2.00095
Chlorodinine,4,12/6/16 19:00,1.79786
Chlorodinine,4,12/7/16 19:00,2.1099
Chlorodinine,4,12/8/16 19:00,1.70882
Chlorodinine,4,12/9/16 19:00,2.06051
Chlorodinine,4,12/10/16 19:00,1.92365
Chlorodinine,4,12/11/16 19:00,2.09311
Chlorodinine,4,12/12/16 19:00,2.01218
Chlorodinine,4,12/13/16 19:00,1.96155
Chlorodinine,4,12/14/16 19:00,1.94739
Chlorodinine,4,12/15/16 19:00,1.94254
Chlorodinine,4,12/16/16 19:00,2.08588
Chlorodinine,4,12/17/16 19:00,1.85464
Chlorodinine,4,12/18/16 19:00,2.05065
Chlorodinine,4,12/19/16 19:00,1.81829
Chlorodinine,4,12/20/16 19:00,1.89638
Chlorodinine,4,12/21/16 19:00,1.82467
Chlorodinine,4,12/22/16 19:00,2.41853
Chlorodinine,4,12/23/16 19:00,2.0084
Chlorodinine,4,12/24/16 19:00,1.98148
Chlorodinine,4,12/25/16 19:00,1.93069
Chlorodinine,4,12/26/16 19:00,2.06583
Chlorodinine,4,12/27/16 19:00,2.01271
Chlorodinine,4,12/28/16 19:00,1.84857
Chlorodinine,4,12/29/16 19:00,2.23966
Chlorodinine,4,12/30/16 19:00,2.33289
Chlorodinine,4,12/31/16 19:00,2.44523
Chlorodinine,5,4/1/16 19:00,0.122929
Chlorodinine,5,4/2/16 19:00,0.318765
Chlorodinine,5,4/3/16 19:00,0.233378
Chlorodinine,5,4/4/16 19:00,0.0410879
Chlorodinine,5,4/5/16 19:00,0.264012
Chlorodinine,5,4/6/16 19:00,0.208854
Chlorodinine,5,4/7/16 19:00,0.00184143
Chlorodinine,5,4/8/16 19:00,1.75824
Chlorodinine,5,4/9/16 19:00,0.404845
Chlorodinine,5,4/10/16 19:00,0.021432
Chlorodinine,5,4/11/16 19:00,0.679417
Chlorodinine,5,4/12/16 19:00,0.32964
Chlorodinine,5,4/13/16 19:00,0.171448
Chlorodinine,5,4/14/16 19:00,0.459067
Chlorodinine,5,4/15/16 19:00,0.218079
Chlorodinine,5,4/16/16 19:00,0.190435
Chlorodinine,5,4/17/16 19:00,0.292225
Chlorodinine,5,4/18/16 19:00,0.526571
Chlorodinine,5,4/19/16 19:00,0.236263
Chlorodinine,5,4/20/16 19:00,0.0545017
Chlorodinine,5,4/21/16 19:00,0.0735036
Chlorodinine,5,4/22/16 19:00,0.271838
Chlorodinine,5,4/23/16 19:00,0.577567
Chlorodinine,5,4/24/16 19:00,0.370912
Chlorodinine,5,4/25/16 19:00,0.0966151
Chlorodinine,5,4/26/16 19:00,0.0259424
Chlorodinine,5,4/27/16 19:00,0.384071
Chlorodinine,5,4/28/16 19:00,0.376066
Chlorodinine,5,4/29/16 19:00,0.3016
Chlorodinine,5,4/30/16 19:00,0.236809
Chlorodinine,5,8/1/16 19:00,0.341273
Chlorodinine,5,8/2/16 19:00,0.345386
Chlorodinine,5,8/3/16 19:00,0.622456
Chlorodinine,5,8/4/16 19:00,0.0627831
Chlorodinine,5,8/5/16 19:00,0.188875
Chlorodinine,5,8/6/16 19:00,0.495161
Chlorodinine,5,8/7/16 19:00,0.230103
Chlorodinine,5,8/8/16 19:00,0.897454
Chlorodinine,5,8/9/16 19:00,0.462917
Chlorodinine,5,8/10/16 19:00,0.392791
Chlorodinine,5,8/11/16 19:00,0.532493
Chlorodinine,5,8/12/16 19:00,0.435377
Chlorodinine,5,8/13/16 19:00,0.896217
Chlorodinine,5,8/14/16 19:00,0.369205
Chlorodinine,5,8/15/16 19:00,0.23745
Chlorodinine,5,8/16/16 19:00,0.115796
